,id,Machine failure,Probability
0,136429,0,0.003926482562972868
1,136430,0,0.003987457474545732
2,136431,0,0.004320577542129409
3,136432,0,0.009963763488966392
4,136433,0,0.005803954692355903
5,136434,0,0.0038215407275842598
6,136435,0,0.003439876149868987
7,136436,0,0.012297796500079644
8,136437,0,0.005450221729726962
9,136438,0,0.005741805103626804
10,136439,0,0.003667986466948354
11,136440,0,0.004879675855844818
12,136441,0,0.003299321861425164
13,136442,0,0.003948587678521782
14,136443,0,0.0055081265067969285
15,136444,0,0.007134705835270073
16,136445,0,0.002689598405309525
17,136446,1,0.9832028855023791
18,136447,0,0.005366424812052344
19,136448,0,0.0039790647249525884
20,136449,0,0.010359492432803647
21,136450,0,0.006122119187484647
22,136451,0,0.023777866429419724
23,136452,0,0.01864903238452769
24,136453,0,0.004984210100247613
25,136454,0,0.004827920109859444
26,136455,0,0.004431104193139212
27,136456,0,0.006103477526400618
28,136457,0,0.00890593713814263
29,136458,0,0.006799247609517341
30,136459,0,0.004115726392403119
31,136460,0,0.005576068529866621
32,136461,0,0.002291708405626037
33,136462,0,0.018803941683545367
34,136463,0,0.0015241904669461908
35,136464,0,0.005647259371092068
36,136465,0,0.0054049213570302596
37,136466,0,0.005456821100721895
38,136467,0,0.004768730931687433
39,136468,0,0.004317764970852773
40,136469,0,0.004220051112207659
41,136470,0,0.003860469166826877
42,136471,0,0.006238668001529766
43,136472,0,0.005863099684122646
44,136473,0,0.011166577585428774
45,136474,0,0.004882029126370284
46,136475,0,0.009335390416217516
47,136476,0,0.007275013805131003
48,136477,0,0.004300615154777424
49,136478,0,0.0037267009575120717
50,136479,0,0.007471903973237952
51,136480,0,0.008462330881649712
52,136481,0,0.0027841365641121823
53,136482,0,0.01539170672952144
54,136483,0,0.007509243353349604
55,136484,0,0.004738018421320758
56,136485,0,0.00380929515478406
57,136486,0,0.003993170449569719
58,136487,0,0.004915565569698081
59,136488,0,0.0040204325243671
60,136489,0,0.003300065711539318
61,136490,0,0.02206847677536062
62,136491,0,0.006532277340292315
63,136492,0,0.010015269644731276
64,136493,0,0.006499033838093285
65,136494,0,0.003312998609258485
66,136495,0,0.0045915904920639525
67,136496,0,0.007865639881996922
68,136497,0,0.0039243131433545925
69,136498,0,0.016252033639583753
70,136499,0,0.0023099847775158735
71,136500,0,0.004683691238201692
72,136501,0,0.005459363882431279
73,136502,0,0.006952600449550746
74,136503,0,0.0035711065406441134
75,136504,0,0.0052536645992470755
